"","Abd-S102","Abd-S103","Abd-S120","Abd-S123","Abd-S156","Abd-S39","Abd-S42","Abd-S47","Abd-S51","Abd-S54","Abd-S57","Abd-S66","Abd-S79","Abd-S8","Abd-S83","Abd-S98","Res-S10","Res-S125","Res-S127","Res-S136","Res-S139","Res-S146","Res-S149","Res-S150","Res-S164","Res-S166","Res-S174","Res-S177","Res-S184","Res-S19","Res-S26","Res-S40","Res-S77","Res-S87","Skin-S140","Skin-S142","Skin-S152","Skin-S38","Skin-S43","Skin-S46","Skin-S52","Skin-S74","Uri-S112","Uri-S134","Uri-S147","Uri-S157","Uri-S20","Uri-S93"
"A1BG",-0.342741982464597,-0.792805968333561,-1.38313039303252,-2.15481196254002,-1.49343928276863,-1.23491676523866,-0.884692155689974,-2.03051499772599,-2.0185232883473,-1.03272240733973,-0.8210570803739,0.047856506310832,-0.808486316012372,-1.99459088668047,-0.987176297149552,-2.0248451979517,0.177372611179051,-0.591201623302665,-0.277842739726644,-1.5822243757562,-0.751735629060166,-1.68155205991428,-0.444894256557365,-2.41601096125325,-1.56140779628769,-1.34780778127122,-0.519236898743734,-0.338339440989424,-1.25087394192299,-0.5299171117256,-1.69113629797741,-0.75008082323707,-0.354195163531216,-2.52094294973818,-1.58953365212364,-1.99200256386929,-1.00138814928916,-0.785602149552581,-0.372911058803617,-0.988716037589805,-1.70803675428517,-1.76218423853548,-0.594927610975274,-1.34699173624954,-0.65514741711793,-0.649511688036453,-1.80772276468423,-2.53613078390552
"A1BG-AS1",3.78484925285193,3.1379188539928,2.78331617182123,3.14605807710323,3.06396259327402,2.70393416389956,2.53554341396329,3.16567930680767,3.36724653752394,2.71433724338429,3.32760462236936,3.55262166962263,3.5651311595041,2.5839057389358,3.19020109337019,3.38669001232184,3.37284764948484,3.64817046072467,4.22974838234099,3.88053129626674,3.26598820251796,3.06363912117921,3.43884721463729,2.76023541727948,2.93304737633953,3.84916367066533,3.7152151045324,3.23295122176653,2.85811921470991,2.64647920519381,3.31773690267913,2.90766987540816,3.41437188814744,3.28394543119669,2.70943483380022,2.88821155507157,3.41246592845887,3.60602771573173,3.11914619085222,2.98927840997771,2.87238215285666,2.6680923420722,3.15470347610265,3.28763017512511,2.93290657914371,3.55551972456731,2.89561328214707,3.03523942742275
"A2M",-2.41405629737743,-0.480694768825395,-1.86230263070329,-0.250110781370098,-1.19743888832765,-0.991497554745081,-1.39329461409323,-2.48486871128124,-1.15760311364757,-1.20080140457484,1.12334848163139,-1.33655884691438,-1.18445744203821,-0.194534434300277,-1.6967101460106,-1.09615413953705,-0.685783828734938,-2.69041173982064,-0.996984633448515,-0.364249321793553,-0.485534363885115,-0.968659033775484,-0.78809825628627,0.214815713521432,-0.560045659377002,-3.15183174196591,-0.736477820961473,-2.60207976831014,-1.25087394192299,-1.31274597175542,-1.69113629797741,1.48057905065031,-2.34932780859534,-1.74826075376512,-1.00838341270142,-1.99200256386929,-1.00138814928916,-1.03921994782738,-0.719529666182899,0.630119553075224,-1.14800594683365,-0.936050739803325,0.0404771034957696,-2.15359172297569,-1.41980826501278,-1.72063017539206,-1.12415851712503,-2.10596621355009
"A2M-AS1",0.394339193391077,0.296087439315181,-0.199326963018606,0.749490786054715,-0.25073549908126,-0.601360140050913,1.61471227446156,1.23929833308475,0.606570300987789,1.24498124171491,-0.122240160256384,1.25103335052207,0.2938811286784,1.59428749386849,-0.811499560399332,0.574441552487015,0.470302474030101,1.36292116403734,0.0272812430770591,0.233260772652653,0.328583367124174,1.41289255399941,-0.167848251384708,-0.832194183144328,1.47072938484406,-0.455338773756801,0.61052337746821,0.746862305140844,-0.132132069261908,2.02043651184487,0.373543183588981,1.10290308560019,-0.207511060385139,1.36800875019175,-1.00838341270142,1.04038893356651,-0.0401909908522789,1.02123713510617,0.986731243909984,0.74688383199174,-1.14800594683365,0.425414484730114,0.480089393539053,1.05429011638437,1.55286810999147,0.0935971460737235,-0.662237274673597,-0.266720570999153
"A3GALT2",-0.647664557547899,-1.53588864137546,-1.19244544826349,-1.15630438463674,0.91987976567204,0.674635276663963,-0.884692155689974,-1.40727936209694,-0.0211514152345949,-0.882197819831484,-0.8210570803739,0.473050394240672,0.041870785650307,-0.585937526624336,-0.385026929782733,-1.78519099076696,-1.21512754904856,0.00437460422311301,0.73694637963608,-0.136465991869523,-1.50143863749495,-0.201573701192271,1.72286072328486,-2.41601096125325,-1.82498741719145,-0.985534159869474,-0.0868358915130413,-2.20497512205045,-2.08567763419654,0.13573361414338,-1.29241268760222,-1.03668422556511,-0.517498885998387,-0.722041864501468,-0.373682716690959,-0.190448563281085,-0.882252364604036,-2.6504263325476,-2.16835020194107,-1.69796897349772,-2.63572703342115,-2.2957836430545,-1.36849328619422,-0.832720648199294,-0.914545011608549,0.626938405457448,-1.12415851712503,-0.911176646840019
"A4GALT",-1.92828253057152,-3.15183174196591,-1.86230263070329,-0.157051175033333,-3.15183174196591,0.674635276663963,-3.15183174196591,-0.973479436147713,-1.67135038991963,-2.1842928057799,-3.15183174196591,-3.15183174196591,-1.18445744203821,-3.15183174196591,-2.49136043589984,-3.15183174196591,-2.06008430573511,-1.82553281514653,-2.49598924954735,-3.15183174196591,-3.15183174196591,-3.15183174196591,-3.15183174196591,-3.15183174196591,-3.15183174196591,-0.696216229477582,-2.6323398364484,-3.15183174196591,-2.52243118762865,-3.15183174196591,-2.62766520956576,-1.87197594030303,-0.912852949847533,-3.15183174196591,-2.57815694054952,-1.99200256386929,-3.15183174196591,-2.279055140752,-2.16835020194107,-2.49208817985896,-1.95631636696416,-3.15183174196591,-1.75778669541436,-1.8320158820826,-3.15183174196591,-2.26558900859532,-3.15183174196591,-0.618088802126008
"AAAS",5.83223090247677,5.76280978730864,5.50641771324091,5.31186033085639,5.04933086274609,5.33650241870707,4.90372515217706,4.74566148966829,5.17677523029187,5.20054785616232,5.13685740256164,5.25688321732233,4.80467445216121,5.38230216258711,5.22547411120989,5.4115854905428,5.22527835788188,5.32404918997852,5.14585026574195,5.26725488845744,5.4227289159593,4.87185986917579,4.56057584286073,5.30883701315595,5.20947455924132,4.94418211853062,5.3620210512548,5.01633601165828,5.11668791631716,5.4884757759823,5.45075851365323,5.43037560095167,5.19110799089028,5.24346004273836,5.14281906084393,5.20340885818928,5.2880297651984,5.21695570051313,5.15933934500969,5.28995659895989,5.40454977811032,5.31985168085246,5.47985211929448,5.17108661914097,5.15340310361868,5.2980364573472,5.40448647140226,5.54374072288027
"AACS",4.52496289794145,4.97850247727043,3.78854680409682,4.40828723689936,3.94481695672541,4.13144373136153,3.97458912770027,3.94372328344244,3.22943842433638,4.29461965587648,3.97577145641533,4.28229292928559,3.94231964615733,4.73824104869981,4.38896311899486,4.10879616094725,4.38710112770622,4.02030197857245,4.40754271128917,3.76307887607215,4.55577854185549,4.24488879252564,4.18839286139975,4.69706597008863,4.10422651187627,3.97796233575899,3.8432851998774,3.86477624583408,3.93077333676892,4.23642640673514,4.09747489152042,3.84935223027709,3.99425052389628,4.13062909426304,4.03343701212564,3.67245475155231,3.78969983167497,4.00097273396252,3.82642781797713,4.3319771813511,3.99861743944026,3.6500382753143,3.82964636890432,3.52416064948487,3.96147809141176,3.57298192745676,3.66597870579547,4.2955040665751
"AAGAB",4.67673161054936,5.02454397720201,5.24718736500199,5.21072619986575,4.97336125563854,5.03357583674863,5.07419643411358,4.59195897436077,4.48147454547955,5.14464687650913,4.98215028463847,5.27019015171505,5.13016980564133,5.05895228783659,5.08260074110146,5.27761970330837,4.76009892120392,5.04339133856372,4.89581228914076,5.18005544813349,5.15680564834422,4.82395349205462,4.6526606678127,5.272974882419,4.83931400832751,4.96764081677916,4.7773211875322,4.80904595516407,4.97144351284928,5.12587353486028,4.98007362294046,4.94502089700155,5.09895574987337,4.91789791102546,4.91219483865027,5.27242250815154,4.89433057427118,4.82554840058482,4.97240468090969,5.14321608592044,4.84355365454819,5.183577039755,4.83090798349772,5.24553601576899,4.83208559787548,4.84298924080236,5.11844819617119,4.75508132274707
"AAK1",6.51137380849057,6.91366208684556,6.71862808919729,6.64633935685313,7.02876947906463,6.68477475651876,7.21194413046465,7.73857187433601,6.69845726875926,6.83784448146841,7.45591833429591,6.98658097140024,6.66253004937279,7.30618843847948,6.88373939502181,6.93763160516198,7.53137586759163,6.83629206127788,6.80247009820896,6.84829610069303,7.0038142187963,7.20657338149624,6.96313618099732,6.21381531751397,7.14866781655204,6.59337761060842,7.19203924092787,7.37880771144853,7.31287009453844,7.41544080501401,7.25615796112316,7.19841610194812,6.87128976174671,7.09214880342149,6.90814599333356,6.75977658466101,7.16769568244345,7.51524814192449,7.46331853861997,6.95033372574465,7.45715502628919,7.87029191294028,7.10284490562171,6.94136452130028,7.42988458448857,6.69993516402524,7.06296015676004,6.85053598252358
"AAMDC",1.04647893062597,0.873363717389654,1.35070498585042,1.05197816455967,1.24930005562084,1.42730095562831,1.3672476085763,0.707911750197582,1.82256491832252,1.87193647563837,1.31084186358272,2.02885985436653,1.91848219000314,0.935118577534751,1.72833194501861,1.30219272649078,0.713675763509904,1.60336835841069,1.79900332349468,2.01948150777782,1.40039235848317,1.65116231467808,1.82138358257466,2.20292643885601,1.49988239428196,0.843794792080461,1.29479605862761,1.23669277245099,1.18032290437086,0.889673559016903,1.36576686946066,1.02909302510187,1.14118110656046,1.9083281848013,1.92356193375749,1.72537867469344,1.3821418476676,0.599605941193662,1.46014013144039,1.37376536343131,0.999821098758692,1.83834187054671,0.615624559029174,1.59966425054278,1.76733527995541,1.2065779119001,0.970274197332621,0.575321230522121
"AAMP",6.6825524309923,6.24791160590884,6.48556910635714,6.12182184904284,6.46130131688772,6.02245623281357,6.01188933302292,6.08378195141032,6.0144082528614,6.15655281491308,6.22576641260835,5.99428961925915,6.13459068018005,5.93773711667474,6.26923604037073,6.18596996199907,5.58606488354799,5.78542881833635,6.20055944048037,6.3317109517896,6.10997736689482,6.06813095151255,5.91601923666511,6.18144354180132,6.12195447880659,5.78895607090743,5.91626020903394,5.84071600592075,5.80385137606978,5.83921658619506,5.92930150954292,5.88861722494494,6.08061162480378,6.49335876409479,5.98527341535618,6.44835343231144,6.22919625660132,5.77912347352446,6.02688499139463,5.96827680569386,5.65507947821197,5.94567228787577,6.03264901388599,6.42867368127259,6.07041420619692,6.08193243690188,6.15401699460652,6.12568789044815
